Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,pdc
BFO,bse_fo,ABB,862943,SO,CE,7800,ABB INDIA LIMITED,ABB24AUG7800CE,ABB 08AUG24 7800 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2082345,SO,CE,7900,ABB INDIA LIMITED,ABB24AUG7900CE,ABB 08AUG24 7900 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2082685,SO,CE,8000,ABB INDIA LIMITED,ABB24AUG8000CE,ABB 08AUG24 8000 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2073842,SO,CE,8100,ABB INDIA LIMITED,ABB24AUG8100CE,ABB 08AUG24 8100 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2072514,SO,CE,8200,ABB INDIA LIMITED,ABB24AUG8200CE,ABB 08AUG24 8200 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2066678,SO,CE,8300,ABB INDIA LIMITED,ABB24AUG8300CE,ABB 08AUG24 8300 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2080079,SO,CE,8400,ABB INDIA LIMITED,ABB24AUG8400CE,ABB 08AUG24 8400 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2078992,SO,CE,8500,ABB INDIA LIMITED,ABB24AUG8500CE,ABB 08AUG24 8500 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2073167,SO,CE,8600,ABB INDIA LIMITED,ABB24AUG8600CE,ABB 08AUG24 8600 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2071447,SO,CE,8700,ABB INDIA LIMITED,ABB24AUG8700CE,ABB 08AUG24 8700 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2080528,SO,CE,8800,ABB INDIA LIMITED,ABB24AUG8800CE,ABB 08AUG24 8800 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2079451,SO,CE,8900,ABB INDIA LIMITED,ABB24AUG8900CE,ABB 08AUG24 8900 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2069022,SO,CE,9000,ABB INDIA LIMITED,ABB24AUG9000CE,ABB 08AUG24 9000 CE,2024-08-08,125,0.05,
BFO,bse_fo,ABB,2087553,SO,CE,9100,ABB INDIA LIMITED,ABB24AUG9100CE,ABB 08AUG24 9100 CE,2024-08-08,125,0.05,
