Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,NIFTY,35000,FUTIDX,XX,-1,NIFTY,NIFTY SEP FUT,NIFTY26SEP24F,2024-09-26,25,0.05
NFO,nse_fo,AARTIIND,35001,FUTSTK,XX,-1,AARTI INDUSTRIES LTD,AARTIIND SEP FUT,AARTIIND26SEP24F,2024-09-26,1000,0.05
NFO,nse_fo,ABB,35002,FUTSTK,XX,-1,ABB INDIA LIMITED,ABB SEP FUT,ABB26SEP24F,2024-09-26,125,0.05
NFO,nse_fo,ABBOTINDIA,35003,FUTSTK,XX,-1,ABBOTT INDIA LIMITED,ABBOTINDIA SEP FUT,ABBOTINDIA26SEP24F,2024-09-26,20,0.05
NFO,nse_fo,NIFTYNXT50,35004,FUTIDX,XX,-1,NIFTYNXT50,NIFTYNXT50 SEP FUT,NIFTYNXT5027SEP24F,2024-09-27,10,0.05
NFO,nse_fo,FINNIFTY,35006,FUTIDX,XX,-1,FINNIFTY,FINNIFTY JUL FUT,FINNIFTY30JUL24F,2024-07-30,25,0.05
NFO,nse_fo,NIFTY,35007,FUTIDX,XX,-1,NIFTY,NIFTY JUL FUT,NIFTY25JUL24F,2024-07-25,25,0.05
NFO,nse_fo,ABCAPITAL,35008,FUTSTK,XX,-1,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL SEP FUT,ABCAPITAL26SEP24F,2024-09-26,5400,0.01
NFO,nse_fo,ABFRL,35009,FUTSTK,XX,-1,ADITYA BIRLA FASHION & RT,ABFRL SEP FUT,ABFRL26SEP24F,2024-09-26,2600,0.05
NFO,nse_fo,ACC,35010,FUTSTK,XX,-1,ACC LIMITED,ACC SEP FUT,ACC26SEP24F,2024-09-26,300,0.05
NFO,nse_fo,ADANIENT,35011,FUTSTK,XX,-1,ADANI ENTERPRISES LIMITED,ADANIENT SEP FUT,ADANIENT26SEP24F,2024-09-26,300,0.05
NFO,nse_fo,AARTIIND,35012,FUTSTK,XX,-1,AARTI INDUSTRIES LTD,AARTIIND JUL FUT,AARTIIND25JUL24F,2024-07-25,1000,0.05
NFO,nse_fo,ABB,35013,FUTSTK,XX,-1,ABB INDIA LIMITED,ABB JUL FUT,ABB25JUL24F,2024-07-25,125,0.05
NFO,nse_fo,ABBOTINDIA,35014,FUTSTK,XX,-1,ABBOTT INDIA LIMITED,ABBOTINDIA JUL FUT,ABBOTINDIA25JUL24F,2024-07-25,20,0.05
